year,total_btu,full_source
1960,0,"Hydroelectric, Commercial"
1960,0,"Solar, Commercial"
1960,0,"Wind, Commercial"
1960,33,"Geothermal, Electric Utility"
1960,145837,"Hydroelectric, Electric Utility"
1960,0,"Solar, Electric Utility"
1960,0,"Wind, Electric Utility"
1960,3606,"Hydroelectric, Industrial"
1960,0,"Solar, Industrial"
1960,0,"Wind, Industrial"
1961,0,"Hydroelectric, Commercial"
1961,0,"Solar, Commercial"
1961,0,"Wind, Commercial"
1961,94,"Geothermal, Electric Utility"
1961,152171,"Hydroelectric, Electric Utility"
1961,0,"Solar, Electric Utility"
1961,0,"Wind, Electric Utility"
1961,3366,"Hydroelectric, Industrial"
1961,0,"Solar, Industrial"
1961,0,"Wind, Industrial"
1962,0,"Hydroelectric, Commercial"
1962,0,"Solar, Commercial"
1962,0,"Wind, Commercial"
1962,100,"Geothermal, Electric Utility"
1962,168607,"Hydroelectric, Electric Utility"
1962,0,"Solar, Electric Utility"
1962,0,"Wind, Electric Utility"
1962,3407,"Hydroelectric, Industrial"
1962,0,"Solar, Industrial"
1962,0,"Wind, Industrial"
1963,0,"Hydroelectric, Commercial"
1963,0,"Solar, Commercial"
1963,0,"Wind, Commercial"
1963,168,"Geothermal, Electric Utility"
1963,165753,"Hydroelectric, Electric Utility"
1963,0,"Solar, Electric Utility"
1963,0,"Wind, Electric Utility"
1963,3233,"Hydroelectric, Industrial"
1963,0,"Solar, Industrial"
1963,0,"Wind, Industrial"
1964,0,"Hydroelectric, Commercial"
1964,0,"Solar, Commercial"
1964,0,"Wind, Commercial"
1964,204,"Geothermal, Electric Utility"
1964,177070,"Hydroelectric, Electric Utility"
1964,0,"Solar, Electric Utility"
1964,0,"Wind, Electric Utility"
1964,3225,"Hydroelectric, Industrial"
1964,0,"Solar, Industrial"
1964,0,"Wind, Industrial"
1965,0,"Hydroelectric, Commercial"
1965,0,"Solar, Commercial"
1965,0,"Wind, Commercial"
1965,189,"Geothermal, Electric Utility"
1965,193850,"Hydroelectric, Electric Utility"
1965,0,"Solar, Electric Utility"
1965,0,"Wind, Electric Utility"
1965,3135,"Hydroelectric, Industrial"
1965,0,"Solar, Industrial"
1965,0,"Wind, Industrial"
1966,0,"Hydroelectric, Commercial"
1966,0,"Solar, Commercial"
1966,0,"Wind, Commercial"
1966,188,"Geothermal, Electric Utility"
1966,194756,"Hydroelectric, Electric Utility"
1966,0,"Solar, Electric Utility"
1966,0,"Wind, Electric Utility"
1966,3180,"Hydroelectric, Industrial"
1966,0,"Solar, Industrial"
1966,0,"Wind, Industrial"
1967,0,"Hydroelectric, Commercial"
1967,0,"Solar, Commercial"
1967,0,"Wind, Commercial"
1967,316,"Geothermal, Electric Utility"
1967,221518,"Hydroelectric, Electric Utility"
1967,0,"Solar, Electric Utility"
